# delta_large,l2,l1,Huber,BO
3.430469286314919430e-01,2.025522756185322848e-01,2.819891654706345729e-01,2.025522756185302864e-01,1.686312756616616948e-01
3.764935806792469308e-01,2.036637278292945386e-01,2.812387356938406135e-01,2.036637278292925402e-01,1.700448902560792730e-01
4.132012400115338546e-01,2.048848563577794213e-01,2.805357835262485278e-01,2.048848563577772008e-01,1.715562944022186453e-01
4.534878508128584174e-01,2.062237161601521152e-01,2.798958600201162383e-01,2.062237161601514490e-01,1.731719855695985633e-01
4.977023564332111460e-01,2.077026145438136684e-01,2.793221468573148236e-01,2.077026145438130023e-01,1.748965010677431264e-01
5.462277217684342601e-01,2.093215720906536070e-01,2.788254974196022751e-01,2.093215720906513866e-01,1.767328768382339099e-01
5.994842503189411476e-01,2.110948244093608928e-01,2.783964773564397976e-01,2.110948244093564519e-01,1.786913783250818621e-01
6.579332246575682053e-01,2.130434860266574582e-01,2.780686112165504653e-01,2.130148319596978368e-01,1.807737727005163109e-01
7.220809018385467848e-01,2.151840223456713552e-01,2.778322778157649164e-01,2.148985847800717330e-01,1.829755524453008375e-01
7.924828983539177196e-01,2.175283303753414721e-01,2.776942491056650919e-01,2.166172382964390852e-01,1.853002491810791241e-01
8.697490026177834288e-01,2.201006422530331630e-01,2.776583574880897576e-01,2.181599333860853029e-01,1.877422162368997949e-01
9.545484566618341882e-01,2.229292069480388605e-01,2.777406600547467352e-01,2.195596327595881192e-01,1.902891594531166408e-01
1.047615752789665233e+00,2.260317738595820636e-01,2.779347689547551070e-01,2.208481146349623447e-01,1.929247267644217390e-01
1.149756995397736903e+00,2.294383531288231026e-01,2.779977209844530783e-01,2.220744364175375463e-01,1.956394348299315133e-01
1.261856883066021062e+00,2.331738724219891701e-01,2.781196664008549480e-01,2.232513049696436269e-01,1.983939590433378974e-01
1.384886371393873050e+00,2.372733973678835540e-01,2.782416116529473626e-01,2.244274753951542856e-01,2.011569785339069050e-01
1.519911082952934755e+00,2.417775357059999131e-01,2.783760700302906343e-01,2.256338301152327475e-01,2.038931958468856998e-01
1.668100537200059241e+00,2.467167076692251548e-01,2.785049848795893013e-01,2.268756063812678025e-01,2.065570031946323271e-01
1.830738280295369780e+00,2.521355453723674866e-01,2.786160962045172163e-01,2.281727083767384201e-01,2.090955853601957903e-01
2.009233002565047776e+00,2.580837449651856019e-01,2.787414631403075660e-01,2.295478133238049168e-01,2.114817018843646590e-01
