# alpha,err_hub,lambda_hub,a_hub
2.863609718508114454e+01,9.008181036795415153e-02,-1.370441470712740806e+00,9.620104470082446735e-01
2.890159717909508785e+01,8.927158220775854858e-02,-1.395143703011232361e+00,9.620317239478186622e-01
2.916955876018794669e+01,8.846837510314253805e-02,-1.420069834880442805e+00,9.620531254348646533e-01
2.944000475100033754e+01,8.767213491558978333e-02,-1.445222282084591470e+00,9.620747202390700359e-01
2.971295818577332781e+01,8.688280775226586705e-02,-1.470603387252733762e+00,9.620963670193296569e-01
2.998844231231027635e+01,8.610033996966404146e-02,-1.496214807380976897e+00,9.621182657115732173e-01
3.026648059395690638e+01,8.532467817708533353e-02,-1.522059279100830942e+00,9.621403168346998047e-01
3.054709671159968210e+01,8.455576923996410699e-02,-1.548138822729547837e+00,9.621625395119524082e-01
3.083031456568275530e+01,8.379356028303952542e-02,-1.574455554712235195e+00,9.621848409959699033e-01
3.111615827824359926e+01,8.303799869337735728e-02,-1.601011527558514613e+00,9.622072372613059699e-01
3.140465219496750748e+01,8.228903212324389926e-02,-1.627809617110558937e+00,9.622298723020610289e-01
3.169582088726115288e+01,8.154660849283978941e-02,-1.654851275623429263e+00,9.622525327051421051e-01
3.198968915434535987e+01,8.081067599289104564e-02,-1.682139591219408592e+00,9.622753502714276319e-01
3.228628202536730640e+01,8.008118308710754363e-02,-1.709676688641954767e+00,9.622982865903303429e-01
3.258562476153224452e+01,7.935807851450737971e-02,-1.737464659712218751e+00,9.623213317579636383e-01
3.288774285825510191e+01,7.864131129161089362e-02,-1.765505457739128481e+00,9.623443059051793869e-01
3.319266204733187919e+01,7.793083071451167854e-02,-1.793803002191428630e+00,9.623676270875636263e-01
3.350040829913132967e+01,7.722658636558477063e-02,-1.822358145628131920e+00,9.623908942105200426e-01
3.381100782480683620e+01,7.652852809615051655e-02,-1.851173989277000942e+00,9.624142195182998627e-01
3.412448707852889385e+01,7.583660605710096370e-02,-1.880252675473303103e+00,9.624375437908645470e-01
3.444087275973821960e+01,7.515077068110365133e-02,-1.909597134683802100e+00,9.624610646500761924e-01
3.476019181541977332e+01,7.447097268896651912e-02,-1.939209701632087057e+00,9.624845602733892447e-01
3.508247144239790316e+01,7.379716309101480576e-02,-1.969092497915331696e+00,9.625081117815224019e-01
3.540773908965270067e+01,7.312929318836824955e-02,-1.999248708454106405e+00,9.625318552966664054e-01
3.573602246065786403e+01,7.246731457411192956e-02,-2.029680754170104962e+00,9.625556215217812017e-01
3.606734951574028258e+01,7.181117913436962930e-02,-2.060390786262263685e+00,9.625793373689728316e-01
3.640174847446137818e+01,7.116083904928149906e-02,-2.091381797602950954e+00,9.626030404786193317e-01
