# alpha,err_l2,lambda_l2,err_l1,lambda_l1,err_huber,lambda_hub,huber_param,err_bo
7.564633275546295010e+01,1.222855785160510411e-01,9.999999999999999547e-08,5.574223660287547233e-02,9.999999999999999547e-08,5.225246993373522386e-02,9.999999999999999547e-08,5.312657734007779631e-01,3.020266455648856763e-02
8.497534359086442635e+01,1.186989005926795127e-01,9.999999999999999547e-08,5.215229955983979870e-02,9.999999999999999547e-08,4.921591053621754419e-02,9.999999999999999547e-08,5.007181521886273634e-01,2.688433774764020789e-02
9.545484566618341660e+01,1.155148375048999920e-01,9.999999999999999547e-08,4.896854913924775232e-02,9.999999999999999547e-08,4.650435776135042332e-02,9.999999999999999547e-08,4.707249695361478414e-01,2.393036674274662268e-02
1.072267222010323167e+02,1.126873237685017681e-01,9.999999999999999547e-08,4.614384186807707344e-02,9.999999999999999547e-08,4.408148761379848679e-02,9.999999999999999547e-08,4.413980517324050945e-01,2.130087881214137724e-02
1.204503540258783545e+02,1.101757463154440231e-01,9.999999999999999547e-08,4.363675300126534928e-02,9.999999999999999547e-08,4.191539665972587869e-02,9.999999999999999547e-08,4.128401563791477269e-01,1.896031097629324869e-02
1.353047774579807481e+02,1.079442614504948494e-01,9.999999999999999547e-08,4.141083184978056053e-02,9.999999999999999547e-08,3.997800389752792505e-02,9.999999999999999547e-08,3.851465037302190808e-01,1.687696310880326678e-02
1.519911082952933157e+02,1.059612050575768905e-01,9.999999999999999547e-08,3.943396435252988219e-02,9.999999999999999547e-08,3.824454103685415163e-02,9.999999999999999547e-08,3.584010733541589389e-01,1.502259091820890013e-02
1.707352647470692091e+02,1.041985818065700453e-01,9.999999999999999547e-08,3.767782545366760161e-02,9.999999999999999547e-08,3.669311711827116795e-02,9.999999999999999547e-08,3.326774937108754049e-01,1.337203764708938536e-02
1.917910261672488730e+02,1.026316215755858074e-01,9.999999999999999547e-08,3.611740705069910184e-02,9.999999999999999547e-08,3.530434590778086523e-02,9.999999999999999547e-08,3.080376856117653661e-01,1.190290210599065368e-02
2.154434690031886532e+02,1.012383932901130823e-01,9.999999999999999547e-08,3.473060982844344835e-02,9.999999999999999547e-08,3.406102648372710817e-02,9.999999999999999547e-08,2.845315342303847417e-01,1.059524044846549273e-02
2.420128264794383313e+02,9.999946799080339233e-02,9.999999999999999547e-08,3.349788933487984899e-02,9.999999999999999547e-08,3.294786901698487647e-02,9.999999999999999547e-08,2.621960735803195441e-01,9.431298912732311024e-03
2.718588242732940330e+02,9.889762425439596605e-02,9.999999999999999547e-08,3.240194829776221752e-02,9.999999999999999547e-08,3.195125901993578488e-02,9.999999999999999547e-08,2.410569588126094953e-01,8.395274755059300986e-03
3.053855508833418639e+02,9.791759016819190364e-02,9.999999999999999547e-08,3.142746851062216962e-02,9.999999999999999547e-08,3.105905437595324337e-02,9.999999999999999547e-08,2.211268103962963638e-01,7.473102706580636578e-03
3.430469286314919373e+02,9.704581694486291710e-02,9.999999999999999547e-08,3.056087669881923929e-02,9.999999999999999547e-08,3.026041031318871255e-02,9.999999999999999547e-08,2.024072258177800065e-01,6.652264429374277199e-03
3.853528593710527161e+02,9.627027999831616611e-02,9.999999999999999547e-08,2.979013966134513858e-02,9.999999999999999547e-08,2.954562819597872370e-02,9.999999999999999547e-08,1.848891000258545969e-01,5.921618630820191242e-03
4.328761281083061476e+02,9.558030391200134090e-02,9.999999999999999547e-08,2.910458471176591289e-02,9.999999999999999547e-08,2.890602460567226473e-02,9.999999999999999547e-08,1.685531870603400595e-01,5.271249686789269973e-03
4.862601580065353346e+02,9.496640824154978233e-02,9.999999999999999547e-08,2.849474204293511725e-02,9.999999999999999547e-08,2.833381769362608438e-02,9.999999999999999547e-08,1.533713704059183058e-01,4.692332816550015551e-03
5.462277217684347761e+02,9.442017152230297583e-02,9.999999999999999547e-08,2.795220613916371555e-02,9.999999999999999547e-08,2.782202822965595956e-02,9.999999999999999547e-08,1.393081995240858795e-01,4.177014038188708867e-03
6.135907273413175744e+02,9.393411121384342977e-02,9.999999999999999547e-08,2.746951377593909172e-02,9.999999999999999547e-08,2.736439315166272479e-02,9.999999999999999547e-08,1.263220616177930522e-01,3.718303308811732322e-03
6.892612104349694846e+02,9.350157761979183135e-02,9.999999999999999547e-08,2.704003649603103909e-02,9.999999999999999547e-08,2.695528975512617720e-02,9.999999999999999547e-08,1.143654005671314589e-01,3.309979416727504287e-03
7.742636826811277615e+02,9.311666008144769968e-02,9.999999999999999547e-08,2.665788574436334102e-02,9.999999999999999547e-08,2.658966895082692794e-02,9.999999999999999547e-08,1.033877169060895829e-01,2.946505342373617609e-03
8.697490026177833897e+02,9.277410396596907916e-02,9.999999999999999547e-08,2.631782909207291965e-02,9.999999999999999547e-08,2.626299627007200321e-02,9.999999999999999547e-08,9.333523347183232677e-02,2.622952940882106176e-03
9.770099572992246522e+02,9.246923715999910698e-02,9.999999999999999547e-08,2.601521619051627709e-02,9.999999999999999547e-08,2.597119951247761627e-02,9.999999999999999547e-08,8.415251798474063238e-02,2.334935922329917091e-03
1.097498765493056680e+03,9.219790494308321982e-02,9.999999999999999547e-08,2.574591327525888040e-02,9.999999999999999547e-08,2.571062211519237195e-02,9.999999999999999547e-08,7.578384421659931092e-02,2.078550216616070756e-03
1.232846739442065882e+03,9.195641225605410973e-02,9.999999999999999547e-08,2.550624519312605365e-02,9.999999999999999547e-08,2.547798147741087149e-02,9.999999999999999547e-08,6.817293020679064675e-02,1.850320909422720206e-03
1.384886371393871741e+03,9.174147250130015863e-02,9.999999999999999547e-08,2.529294405675419632e-02,9.999999999999999547e-08,2.527033160317504468e-02,9.999999999999999547e-08,6.126495304623090499e-02,1.647155024809832113e-03
1.555676143930472335e+03,9.155016211732847076e-02,9.999999999999999547e-08,2.510310374402502376e-02,9.999999999999999547e-08,2.508502953193092466e-02,9.999999999999999547e-08,5.500645246666990840e-02,1.466299509581991956e-03
1.747528400007682876e+03,9.137988026168475386e-02,9.999999999999999547e-08,2.493413955724688158e-02,9.999999999999999547e-08,2.491970511316421444e-02,9.999999999999999547e-08,4.934606426917731437e-02,1.305303845577254762e-03
1.963040650040272340e+03,9.122831301610090371e-02,9.999999999999999547e-08,2.478375244126285182e-02,9.999999999999999547e-08,2.477223375169579356e-02,9.999999999999999547e-08,4.423403884041058470e-02,1.161986779322221608e-03
2.205130739903045651e+03,9.109340159737677745e-02,9.999999999999999547e-08,2.464989723282329237e-02,9.999999999999999547e-08,2.464071180669180627e-02,9.999999999999999547e-08,3.962433497541995031e-02,1.034406714858215892e-03
2.477076355991709079e+03,9.097331411839415516e-02,9.999999999999999547e-08,2.453075447719110791e-02,9.999999999999999547e-08,2.452343437265147585e-02,9.999999999999999547e-08,3.547255663985303398e-02,9.208353657208512288e-04
2.782559402207125913e+03,9.086642049697579715e-02,9.999999999999999547e-08,2.442470540333840923e-02,9.999999999999999547e-08,2.441887520687480162e-02,9.999999999999999547e-08,3.173759456760497782e-02,8.197343066915774301e-04
3.125715849688235267e+03,9.077127015708996716e-02,9.999999999999999547e-08,2.433030969756444506e-02,9.999999999999999547e-08,2.432566859704210493e-02,9.999999999999999547e-08,2.838140124737038861e-02,7.297341056538009241e-04
3.511191734215127326e+03,9.068657220799258845e-02,9.999999999999999547e-08,2.424628575763820848e-02,9.999999999999999547e-08,2.424259298620512482e-02,9.999999999999999547e-08,2.536806628481276180e-02,6.496157512048128524e-04
3.944206059437656222e+03,9.061117782305450064e-02,9.999999999999999547e-08,2.417149314676247940e-02,9.999999999999999547e-08,2.416855619191715654e-02,9.999999999999999547e-08,2.266540863379808146e-02,5.782941230785265674e-04
4.430621457583877600e+03,9.054406457185493196e-02,9.999999999999999547e-08,2.410491699916494923e-02,9.999999999999999547e-08,2.410258207248228146e-02,9.999999999999999547e-08,2.024307616383478475e-02,5.148032803756752429e-04
4.977023564332113892e+03,9.048432248722004800e-02,9.999999999999999547e-08,2.404565415779269522e-02,9.999999999999999547e-08,2.404379850713000977e-02,9.999999999999999547e-08,1.807332093837656778e-02,4.582833674275921254e-04
5.590810182512223037e+03,9.043114167363430766e-02,9.999999999999999547e-08,2.399290084977945270e-02,9.999999999999999547e-08,2.399142656891006808e-02,9.999999999999999547e-08,1.613145287002894224e-02,4.079689592100255169e-04
6.280291441834246143e+03,9.038380128537926161e-02,9.999999999999999547e-08,2.394594172754649364e-02,9.999999999999999547e-08,2.394477077968337753e-02,9.999999999999999547e-08,1.439451856406680219e-02,3.631786878730558499e-04
7.054802310718645458e+03,9.034165972207386375e-02,9.999999999999999547e-08,2.390414012302488622e-02,9.999999999999999547e-08,2.390321034607345574e-02,9.999999999999999547e-08,1.284138264984097111e-02,3.233060094158801689e-04
7.924828983539169712e+03,9.030414590644642026e-02,9.999999999999999547e-08,2.386692937966072847e-02,9.999999999999999547e-08,2.386619128385469857e-02,9.999999999999999547e-08,1.145347568397084986e-02,2.878109850779075884e-04
8.902150854450392217e+03,9.027075152429731020e-02,9.999999999999999547e-08,2.383380514236876913e-02,9.999999999999999547e-08,2.383321934613347182e-02,9.999999999999999547e-08,1.021359775058510583e-02,2.562129658398859533e-04
1.000000000000000000e+04,9.024102412006929086e-02,9.999999999999999547e-08,2.380431849883812845e-02,9.999999999999999547e-08,2.380385367794701779e-02,9.999999999999999547e-08,9.106499644043230743e-03,2.280840807167283657e-04
