# reg_params,l2,l1,Huber 0.01,Huber 0.02,Huber 0.03,Huber 0.06,Huber 0.10,Huber 0.18,Huber 0.32,Huber 0.56,Huber 1.00,BO
2.154434690031884481e-01,1.534668589471491984e+00,1.308523559938060465e+00,9.535737817951855932e-01,9.213382030164282144e-01,8.714816862728959057e-01,8.025828278681196304e-01,7.256300914260008783e-01,6.731357240328679215e-01,6.952993172585230086e-01,8.430510922341237778e-01,1.132172347695850068e+00,6.197755182845332556e-01
2.477076355991711387e-01,1.431936361862400808e+00,1.181779374222953427e+00,9.592908119093793706e-01,9.305955573182963514e-01,8.853851831948287288e-01,8.207487738182257520e-01,7.436410578752483680e-01,6.810202090581807255e-01,6.802329110089492259e-01,7.936834911184894592e-01,1.044634876126435907e+00,6.197755182845332556e-01
2.848035868435802032e-01,1.339278980012654330e+00,1.072858495024871406e+00,9.643413183828836166e-01,9.388757594103627202e-01,8.981061065656751330e-01,8.380909496299449035e-01,7.624245460616002612e-01,6.925922209714827638e-01,6.721876608875029246e-01,7.544963235362078802e-01,9.694313721357779023e-01,6.197755182845332556e-01
3.274549162877728459e-01,1.256127518173684177e+00,9.803269147242252846e-01,9.687938491952466924e-01,9.462544319696528650e-01,9.096656796529720701e-01,8.544318779047994639e-01,7.814487344378208133e-01,7.070432779709772131e-01,6.702851089861107114e-01,7.245451344975426533e-01,9.056939897625458924e-01,6.197755182845332556e-01
3.764935806792467643e-01,1.181943074303063446e+00,9.027963619440949605e-01,9.727122180413043662e-01,9.528085969419026746e-01,9.201082593744805971e-01,8.696597449355811804e-01,8.002747609324314393e-01,7.236133077822038961e-01,6.736683923363424586e-01,7.029255060316703663e-01,8.525650068178591834e-01,6.197755182845332556e-01
4.328761281083061685e-01,1.116212319131749009e+00,8.389334679127610217e-01,9.761551848181247992e-01,9.586141886479492280e-01,9.294940172364392073e-01,8.837169336280946697e-01,8.185554726334924869e-01,7.416056746067548611e-01,6.814997522586108136e-01,6.887692507191506275e-01,8.092007634424310814e-01,6.197755182845332556e-01
4.977023564332113681e-01,1.058443154172622913e+00,7.874682944675164276e-01,9.791763718743426992e-01,9.637443049759624181e-01,9.378930181971671942e-01,8.965888307576450611e-01,8.360297478067936217e-01,7.604005768630417439e-01,6.929636962238514553e-01,6.812382507691696620e-01,7.747754661264780740e-01,6.197755182845332556e-01
5.722367659350220404e-01,1.008160479061842363e+00,7.471998679992650771e-01,9.818243702426031616e-01,9.682680732149954173e-01,9.453806104266012644e-01,9.082937896719472937e-01,8.525137191012893689e-01,7.794646725129611431e-01,7.072759223079783109e-01,6.795177890928902897e-01,7.484843487271369833e-01,6.197755182845332556e-01
6.579332246575682053e-01,9.649021387386864657e-01,7.169964304678542177e-01,9.841429374671283314e-01,9.722499395499272223e-01,9.520338803232196723e-01,9.188741249260860000e-01,8.678900262853990188e-01,7.983557982789365459e-01,7.236963046926949694e-01,6.828112841451636772e-01,7.295450590757122100e-01,6.197755182845332556e-01
7.564633275546290836e-01,9.282151462921974794e-01,6.957896939077988785e-01,9.861712728112521642e-01,9.757493075738878918e-01,9.579290583990666130e-01,9.283886988593404999e-01,8.820964498220802419e-01,8.167222797987265803e-01,7.415433570062035518e-01,6.903382350520639310e-01,7.171975022990005888e-01,6.197755182845332556e-01
8.697490026177834288e-01,8.976522833563368442e-01,6.825650603532804617e-01,9.879443595292355385e-01,9.788204575186894019e-01,9.631397298713745281e-01,9.369068737542414205e-01,8.951148128679242699e-01,8.342980809271500764e-01,7.602078460596483067e-01,7.013373712289030504e-01,7.107021944769715827e-01,6.197755182845332556e-01
1.000000000000000000e+00,8.727692400564389663e-01,6.763492483959793189e-01,9.894932965435575545e-01,9.815126060791218299e-01,9.677355972564799513e-01,9.445037241471545553e-01,9.069607371864697454e-01,8.508943869628450285e-01,7.791627191044180334e-01,7.150742368632381218e-01,7.093379230059719820e-01,6.197755182845332556e-01
1.149756995397735571e+00,8.531223118059299004e-01,6.761997704592628278e-01,9.908456399902997314e-01,9.838700984638119040e-01,9.717817332973472944e-01,9.512563984957925767e-01,9.176746287742449937e-01,8.663893052539181072e-01,7.979684961276103383e-01,7.308528979184265584e-01,7.124000854624066292e-01,6.197755182845332556e-01
