# delta_large,l2,l1,Huber,BO
2.656087782946686768e-03,9.924528054495485030e-02,1.455521849272571888e-01,9.910043305300186844e-02,9.906820174342745311e-02
2.848035868435802066e-03,9.926223660359778656e-02,1.455523894003261098e-01,9.910198897231836668e-02,9.906782527024171614e-02
3.053855508833415791e-03,9.928040631544932104e-02,1.455525856269399565e-01,9.910348894640907957e-02,9.906740100605637700e-02
3.274549162877728094e-03,9.929988465620764870e-02,1.455527562153955401e-01,9.910493991332858243e-02,9.906692941561745513e-02
3.511191734215130845e-03,9.932077927983562482e-02,1.455529407984477164e-01,9.910635649472365749e-02,9.906642602818371834e-02
3.764935806792467539e-03,9.934318740690084582e-02,1.455531220313541763e-01,9.910773418686891212e-02,9.906588664610938011e-02
4.037017258596556010e-03,9.936719638900814999e-02,1.455532771470557929e-01,9.910905255959123750e-02,9.906531258050998989e-02
4.328761281083060020e-03,9.939294994097647162e-02,1.455534373809646009e-01,9.911033959774773194e-02,9.906471827601892599e-02
4.641588833612779810e-03,9.942056241797581073e-02,1.455536014095035746e-01,9.911158543872344850e-02,9.906410062464565680e-02
4.977023564332111981e-03,9.945017387279375676e-02,1.455537636809560720e-01,9.911279699976072166e-02,9.906347027449180498e-02
5.336699231206309610e-03,9.948191300729702924e-02,1.455539094878037787e-01,9.911396013803308591e-02,9.906281747212197786e-02
5.722367659350217559e-03,9.951594868255808635e-02,1.455540501425878208e-01,9.911509065644596994e-02,9.906215439665178035e-02
6.135907273413173518e-03,9.955243786344825097e-02,1.455541877019759234e-01,9.911618129916455189e-02,9.906148302085759916e-02
6.579332246575683718e-03,9.959155819840148638e-02,1.455543150488092241e-01,9.911723516595705163e-02,9.906080749938928065e-02
7.054802310718645900e-03,9.963350339178056458e-02,1.455544355922457900e-01,9.911825266004603563e-02,9.906012213804094024e-02
7.564633275546290940e-03,9.967847842178834128e-02,1.455545628572987304e-01,9.911924088201584659e-02,9.905943945777129223e-02
8.111308307896874029e-03,9.972669657973853852e-02,1.455546822275803898e-01,9.912019454883669312e-02,9.905875400120378593e-02
8.697490026177834635e-03,9.977839272867861098e-02,1.455547961471435059e-01,9.912111582056093440e-02,9.905807079293782458e-02
9.326033468832199691e-03,9.983381795076584631e-02,1.455549076510278539e-01,9.912200632434919889e-02,9.905738989453793941e-02
1.000000000000000021e-02,9.989324394754151015e-02,1.455550220180088505e-01,9.912287031420152772e-02,9.905671244089209182e-02
1.072267222010323158e-02,9.995695528586590051e-02,1.455551269199368836e-01,9.912370565059158700e-02,9.905604206740337148e-02
1.149756995397735633e-02,1.000252468208229217e-01,1.455552111851237118e-01,9.912449976782711225e-02,9.905537572667721946e-02
1.232846739442066027e-02,1.000984714734856063e-01,1.455553110637721748e-01,9.912527633789602888e-02,9.905471810602350935e-02
1.321941148466028795e-02,1.001769779472039268e-01,1.455554198228956597e-01,9.912603099309080790e-02,9.905406866220767270e-02
1.417474162926804677e-02,1.002611304641325418e-01,1.455554960418936616e-01,9.912674945297084150e-02,9.905342879121359356e-02
1.519911082952933243e-02,1.003513512335665325e-01,1.455555882015275859e-01,9.912744859415223431e-02,9.905279865215488311e-02
1.629750834620645114e-02,1.004480732726216186e-01,1.455556805138848997e-01,9.912812693254346996e-02,9.905217858339188108e-02
1.747528400007684890e-02,1.005517528700974328e-01,1.455557553223971734e-01,9.912877510678175241e-02,9.905156764129130487e-02
