# delta_large,l2,l1,Huber,BO
8.497534359086446332e-02,1.818192432389795776e-01,2.756989155022833149e-01,1.818192432389704738e-01,1.552226088789298020e-01
9.326033468832199691e-02,1.821799601330076346e-01,2.757327018434243548e-01,1.821799601330034157e-01,1.558123240814199839e-01
1.023531021899026366e-01,1.825754560969747864e-01,2.757692034423564476e-01,1.825754560969705675e-01,1.564314478317123669e-01
1.123324032978027659e-01,1.830090429911461758e-01,2.758085854877294629e-01,1.830090429911417349e-01,1.570823591870047498e-01
1.232846739442066547e-01,1.834843396678791372e-01,2.758510140015235645e-01,1.834843396678764726e-01,1.577676800966284487e-01
1.353047774579807516e-01,1.840052986985265537e-01,2.758966540663410072e-01,1.840052986985225569e-01,1.584902960390738302e-01
1.484968262254464932e-01,1.845762351401589729e-01,2.759456677784954959e-01,1.845762351401551982e-01,1.592533767489061614e-01
1.629750834620644351e-01,1.852018573191702711e-01,2.759982119356052532e-01,1.852018573191667183e-01,1.600603966493427954e-01
1.788649529057435017e-01,1.858872997365901281e-01,2.760544354623144514e-01,1.858872997365863533e-01,1.609151540028994631e-01
1.963040650040271395e-01,1.866381581321898686e-01,2.761144766035332765e-01,1.866381581321858718e-01,1.618217878596870385e-01
2.154434690031884481e-01,1.874605267259745744e-01,2.761784599165464371e-01,1.874605267259707997e-01,1.627847912010741416e-01
2.364489412645408295e-01,1.883610375722044594e-01,2.762464931240264931e-01,1.883610375721993524e-01,1.638090185240868024e-01
2.595024211399737379e-01,1.893469020177322992e-01,2.763186638845893661e-01,1.893469020177287465e-01,1.648996851472455116e-01
2.848035868435802032e-01,1.904259541094992514e-01,2.763950365692531275e-01,1.904259541094954766e-01,1.660623550232009915e-01
3.125715849688237014e-01,1.916066957705750973e-01,2.764756491396076488e-01,1.916066957705733209e-01,1.673029127106860914e-01
3.430469286314919430e-01,1.928983434876749836e-01,2.765605102308126284e-01,1.928983434876716530e-01,1.686275139997837069e-01
3.764935806792469308e-01,1.943108761522547301e-01,2.766495965613964270e-01,1.943108761522518435e-01,1.700425084044219215e-01
4.132012400115338546e-01,1.958550835683248170e-01,2.767428507713787234e-01,1.958550835683221525e-01,1.715543248286480749e-01
4.534878508128584174e-01,1.975426150162229444e-01,2.768401798210753384e-01,1.975426150162205019e-01,1.731693103210338869e-01
4.977023564332111460e-01,1.993860271220586622e-01,2.769414540388797086e-01,1.993839004001478621e-01,1.748935098332962124e-01
5.462277217684342601e-01,2.013988300663589470e-01,2.770465068966827538e-01,2.013601913500495666e-01,1.767323735404581209e-01
5.994842503189411476e-01,2.035955309851356088e-01,2.771551355937684757e-01,2.034267853204159149e-01,1.786903779508611789e-01
6.579332246575682053e-01,2.059916731726971761e-01,2.772671024673223350e-01,2.055466091880637780e-01,1.807705479554746475e-01
