# delta_large,l2,l1,Huber,BO
2.656087782946686904e+00,1.407117259962775702e-01,1.805938515462468530e-01,1.360881610061777103e-01,1.357597795959863962e-01
2.915053062825178731e+00,1.468576670419037278e-01,1.837483241048456506e-01,1.401797485428861734e-01,1.398746637461709685e-01
3.199267137797384475e+00,1.534946828599883517e-01,1.868561050156003489e-01,1.442426475988618506e-01,1.439577305453898504e-01
3.511191734215134641e+00,1.606520062387637449e-01,1.899143270125029925e-01,1.482592777532947270e-01,1.479737725716707697e-01
3.853528593710531247e+00,1.683588856839155490e-01,1.929204576920096059e-01,1.522158107461346610e-01,1.518891160990296640e-01
4.229242874389498752e+00,1.766441658535056192e-01,1.958721030686434439e-01,1.561014622556184950e-01,1.556721769937453592e-01
4.641588833612781961e+00,1.855359391003992275e-01,1.987671487724140817e-01,1.599079962751221995e-01,1.592940532225053385e-01
5.094138014816380178e+00,1.950610537245147658e-01,2.016037305055815576e-01,1.636291922459329751e-01,1.627289751953016061e-01
5.590810182512228721e+00,2.052446107046421719e-01,2.043801791640733612e-01,1.672604773943959788e-01,1.659547272984864819e-01
6.135907273413176100e+00,2.161093629345820499e-01,2.070950581442352334e-01,1.707985768317503705e-01,1.689529518863750468e-01
6.734150657750828550e+00,2.276752078315276151e-01,2.097472241486899591e-01,1.742413051060360818e-01,1.717093171993668843e-01
7.390722033525782386e+00,2.399584276411328432e-01,2.123356438556163184e-01,1.775872641982350064e-01,1.742136438356363115e-01
8.111308307896871739e+00,2.529711372192202656e-01,2.148596023869717708e-01,1.808358337349396106e-01,1.764597740298293749e-01
8.902150854450392004e+00,2.667205590302124119e-01,2.173185445833314411e-01,1.839868556132855382e-01,1.784455292771253143e-01
9.770099572992256398e+00,2.812084019116201095e-01,2.197120786439199502e-01,1.870406697142414920e-01,1.801723287243077731e-01
1.072267222010324339e+01,2.964302532372899979e-01,2.220400429426399036e-01,1.899979764426298345e-01,1.816449440853056263e-01
1.176811952434999142e+01,3.123750302375991605e-01,2.243024378482736392e-01,1.928597729283345608e-01,1.828710724561515288e-01
1.291549665014884063e+01,3.290244903920176434e-01,2.264994305269976138e-01,1.956273111744386561e-01,1.838608412704447748e-01
1.417474162926806258e+01,3.463529122835367069e-01,2.286313317180332927e-01,1.983020334399847595e-01,1.846264350119823927e-01
1.555676143930472222e+01,3.643268617386428154e-01,2.306986039783534004e-01,2.008855524590744679e-01,1.851815228650550704e-01
1.707352647470692020e+01,3.829051040114603843e-01,2.327018307378199147e-01,2.033796170021116012e-01,1.855408962498547032e-01
1.873817422860384951e+01,4.020387251908639215e-01,2.346417237718687598e-01,2.057860746423747500e-01,1.857200455504548486e-01
2.056512308348653661e+01,4.216714192729313915e-01,2.365190979197100418e-01,2.081068782781381188e-01,1.857347223177154838e-01
2.257019719633921540e+01,4.417399581860166347e-01,2.383348618174234712e-01,2.103440393162478994e-01,1.856006925376147976e-01
2.477076355991711409e+01,4.621748638686038468e-01,2.400899891777010797e-01,2.124996075282801211e-01,1.853334191288347199e-01
2.718588242732942817e+01,4.829012489083828186e-01,2.417856028712221939e-01,2.145756904723310488e-01,1.849478642801998252e-01
2.983647240283340452e+01,5.038398219729806060e-01,2.434228217792977489e-01,2.165744601401786706e-01,1.844583126807053386e-01
3.274549162877731590e+01,5.249080157842543892e-01,2.450028414519600517e-01,2.184980095083601803e-01,1.838782351592798125e-01
3.593813663804629499e+01,5.460212394303787242e-01,2.465268844308168283e-01,2.203485054986993319e-01,1.832202203085171455e-01
3.944206059437659917e+01,5.670941753962900345e-01,2.479962793564516321e-01,2.221281091508926497e-01,1.824959490053057465e-01
4.328761281083061618e+01,5.880421143901559677e-01,2.494123458490791201e-01,2.238389990475733171e-01,1.817160958050876296e-01
4.750810162102798273e+01,6.087822554543972364e-01,2.507763945653420645e-01,2.254832560452437740e-01,1.808904172450503944e-01
5.214008287999689628e+01,6.292349690198910661e-01,2.520898202724382031e-01,2.270630122833783293e-01,1.800277289755658483e-01
5.722367659350219782e+01,6.493249432857947090e-01,2.533539895932903629e-01,2.285803655289959657e-01,1.791359729282777646e-01
6.280291441834259558e+01,6.689822084920322709e-01,2.545702893766386143e-01,2.300373624491860447e-01,1.782222258863785935e-01
6.892612104349701951e+01,6.881430032302893185e-01,2.557401031361943300e-01,2.314360210136252594e-01,1.772927843826926919e-01
7.564633275546290747e+01,7.067504601480265602e-01,2.568648413301950484e-01,2.327783667342013807e-01,1.763531869587842138e-01
8.302175681319752698e+01,7.247551034258150615e-01,2.579458857375387382e-01,2.340663641948830254e-01,1.754083167192168613e-01
9.111627561154895716e+01,7.421151569894441913e-01,2.589845844904350436e-01,2.353018844292309453e-01,1.744624225375508431e-01
1.000000000000000000e+02,7.587966653412676621e-01,2.599822884019113989e-01,2.364868163170863458e-01,1.735192159312344273e-01
