# epsilons,l2,l1,Huber,BO
5.819513364843387909e-02,5.227167404559129871e-02,1.948889966081801539e-02,1.438845585825498929e-02,1.266356849319849598e-02
6.342347058335075227e-02,5.626435076363289767e-02,1.974447873436835366e-02,1.467641992805446272e-02,1.281226804896817839e-02
6.912152904636222062e-02,6.067106021913626357e-02,2.002904963206897371e-02,1.499467002730892062e-02,1.297579421535144384e-02
7.533150951473341350e-02,6.553945317484388688e-02,2.034655810323715563e-02,1.534735620107618992e-02,1.315605301779454450e-02
8.209940381906270790e-02,7.092326077502275616e-02,2.070168248152892687e-02,1.573936190597513551e-02,1.335513162890900052e-02
8.947533576407702693e-02,7.688350154982259710e-02,2.109992930025783586e-02,1.617649643267071724e-02,1.357549289404136328e-02
9.751393235130209614e-02,8.348934941389929421e-02,2.154778685643687908e-02,1.666569971358322633e-02,1.382010217246332218e-02
1.062747283529282272e-01,9.081953242400220283e-02,2.205313388668805885e-02,1.721534712770611542e-02,1.409230742407030501e-02
1.158226072331896422e-01,9.896364751082953326e-02,2.264085987946606870e-02,1.783557997896245695e-02,1.439625361080021371e-02
1.262282816827738907e-01,1.080239788924122202e-01,2.328242568957761272e-02,1.853884911828806992e-02,1.473684471837910515e-02
1.375688173251539970e-01,1.181175075963145638e-01,2.402039651903109529e-02,1.934054087001491062e-02,1.511991797599465670e-02
1.499282034734712721e-01,1.293782679434281047e-01,2.487398808673835227e-02,2.025985415767173059e-02,1.555279508515505782e-02
1.633979751650631584e-01,1.419599718005155609e-01,2.586753199951186133e-02,2.132106795596366844e-02,1.604428059487195135e-02
1.780778910804914350e-01,1.560393260951988825e-01,2.703222517821468607e-02,2.255524546665599317e-02,1.660553400355002651e-02
1.940766723678215289e-01,1.718198818697076469e-01,2.840856402512637047e-02,2.400268068291477874e-02,1.725050439460651397e-02
2.115128078439660608e-01,1.895363815335071589e-01,3.004993893535257143e-02,2.571645895864960174e-02,1.799715018528258437e-02
2.305154315365115780e-01,2.094600254211176349e-01,3.202804064236652870e-02,2.776780954003688073e-02,1.886878632556909796e-02
2.512252790651986478e-01,2.319046956548862504e-01,3.444105722395640612e-02,3.025413360285211795e-02,1.989630875699299750e-02
2.737957299461328264e-01,2.572341954888772708e-01,3.742651357471360463e-02,3.331175674709041523e-02,2.112153822140505621e-02
2.983939435381450789e-01,2.857691418599470623e-01,4.118194786842499511e-02,3.713643091290586007e-02,2.260235239309360544e-02
3.252020970442581760e-01,3.179729333109326816e-01,4.599979331513437408e-02,4.201771866792647359e-02,2.442140321967967154e-02
3.544187347370328922e-01,3.542754576566675695e-01,5.232874630968242791e-02,4.839909163063871311e-02,2.670047890944404756e-02
3.862602384003208100e-01,3.951315498560759032e-01,6.088302215255358973e-02,5.698655913670758189e-02,2.962687423631271688e-02
4.209624298776754037e-01,4.409731890525114828e-01,7.285372980930526765e-02,6.895571199213335056e-02,3.350355862951237551e-02
4.587823175960878963e-01,4.921537887057411131e-01,9.032365196914260430e-02,8.635886588756092053e-02,3.885385566477062014e-02
5.000000000000000000e-01,5.488574285331943026e-01,1.170989964600739341e-01,1.129380095904124470e-01,4.666301233006087124e-02
