# epsilons,l2,l1,Huber,BO
2.412366755873450192e-03,2.862308155092512241e-01,3.141596416618437360e-01,2.765163772175158741e-01,2.744021394530486990e-01
2.629097355488423798e-03,2.876115434003461147e-01,3.144489475998724082e-01,2.770182983801710019e-01,2.747387933572700280e-01
2.865299352930904958e-03,2.891052517098136043e-01,3.147642731131605753e-01,2.775591084825606014e-01,2.751016226734644965e-01
3.122722087399102796e-03,2.907203694207525224e-01,3.151079988173093316e-01,2.781416879343763249e-01,2.754935761505545866e-01
3.403272061313782765e-03,2.924657267063131005e-01,3.154826927690568272e-01,2.787692287654035539e-01,2.759157623039754093e-01
3.709027060094787810e-03,2.943503699394569573e-01,3.158911052470179115e-01,2.794451728154094816e-01,2.763717343841745055e-01
4.042251540479181553e-03,2.963842695097858027e-01,3.163363458359729208e-01,2.801731565415090941e-01,2.768630423934657081e-01
4.405413401348637868e-03,2.985775375530135278e-01,3.168216820891687213e-01,2.809571548127824947e-01,2.773932642719769692e-01
4.801202261272811619e-03,3.009408502857122691e-01,3.173505907341116483e-01,2.818013563945784838e-01,2.779652849773801560e-01
5.232549378134262151e-03,3.034854015223780177e-01,3.179275050511762846e-01,2.827105084390122425e-01,2.785826180459329837e-01
5.702649358361937953e-03,3.062226395971030524e-01,3.185562891153965737e-01,2.836893770704393969e-01,2.792484188779561505e-01
6.214983816554321867e-03,3.091645231952235839e-01,3.192417454749600925e-01,2.847433266166379262e-01,2.799667486025907426e-01
6.773347160718162611e-03,3.123233917690189099e-01,3.199890634919708710e-01,2.858780739752253552e-01,2.807418861141228739e-01
7.381874694091216001e-03,3.157118941813328306e-01,3.208038160600539257e-01,2.870997694459682670e-01,2.815783941536973423e-01
8.045073241674308845e-03,3.193430150494578346e-01,3.216920924301931439e-01,2.884150609563074230e-01,2.824812421292539621e-01
8.767854528296360056e-03,3.232298251271628065e-01,3.226603717585723174e-01,2.898310495767941752e-01,2.834555719936826534e-01
9.555571555414196089e-03,3.273859992930183704e-01,3.237164602637248034e-01,2.913556084582062944e-01,2.845077511980194096e-01
1.041405824605791744e-02,3.318247191012415609e-01,3.248676078700691860e-01,2.929968457051659314e-01,2.856441798989302061e-01
1.134967265153673244e-02,3.365599801734844299e-01,3.261230986274934462e-01,2.947639560938237757e-01,2.868711981570591929e-01
1.236934403989932776e-02,3.416050525605727195e-01,3.274916562314245105e-01,2.966664181806897282e-01,2.881966803054231141e-01
1.348062421489105989e-02,3.469737729091066925e-01,3.289843282871458552e-01,2.987148893246565073e-01,2.896285485640619495e-01
1.469174344548236991e-02,3.526793966076025022e-01,3.306115404812108860e-01,3.009204695181966205e-01,2.911762628147678278e-01
1.601167142018862857e-02,3.587353305391216551e-01,3.323862274231690339e-01,3.032955536679928787e-01,2.928496712386856604e-01
1.745018367761649869e-02,3.651542937260072730e-01,3.343211968381183397e-01,3.058531538795410398e-01,2.946588885233154542e-01
1.901793400522864413e-02,3.719490477484037605e-01,3.364310739669953421e-01,3.086075680807305321e-01,2.966158546441670651e-01
2.072653334252090238e-02,3.791317214725653528e-01,3.387317004640628681e-01,3.115741604754032057e-01,2.987331286121280849e-01
2.258863577297735500e-02,3.867139541348425524e-01,3.412401968373992567e-01,3.147695453159022883e-01,3.010254263395302221e-01
2.461803224167023740e-02,3.947067973228168825e-01,3.439751000160873318e-01,3.182116027265853297e-01,3.035073615190326812e-01
2.682975269258740594e-02,4.031209441634708845e-01,3.469572518986860921e-01,3.219198760617620891e-01,3.061956461830370735e-01
2.924017738212866813e-02,4.119659473454218013e-01,3.502081626235682421e-01,3.259151031120790520e-01,3.091093961129884882e-01
3.186715819317142290e-02,4.212508712862712557e-01,3.537518979199458791e-01,3.302199109142531785e-01,3.122687936854043889e-01
3.473015084817117348e-02,4.309839647908249027e-01,3.576143515125338457e-01,3.348586063558898207e-01,3.156955876445339815e-01
3.785035900048314139e-02,4.411725081147181982e-01,3.618235384282628697e-01,3.398573900641661538e-01,3.194142911798409923e-01
4.125089127106093545e-02,4.518227964088152859e-01,3.664096683502657825e-01,3.452444344336706994e-01,3.234522704173219410e-01
4.495693239356520626e-02,4.629402296462032940e-01,3.714050708962750580e-01,3.510499238288788959e-01,3.278389289868453016e-01
4.899592973540154578e-02,4.745291822477917254e-01,3.768451191171129366e-01,3.573063981530641975e-01,3.326070410897243868e-01
5.339779657608515612e-02,4.865927710603916712e-01,3.827672834823407921e-01,3.640485358507525859e-01,3.377915014005423711e-01
5.819513364843387909e-02,4.991329016011851749e-01,3.892109029891304139e-01,3.713131502744553281e-01,3.434326734287321825e-01
6.342347058335075227e-02,5.121503140455030412e-01,3.962193329144181320e-01,3.791397611948894575e-01,3.495724863160181162e-01
6.912152904636222062e-02,5.256441035225486447e-01,4.038366571177882669e-01,3.875697581728234642e-01,3.562591364017493323e-01
7.533150951473341350e-02,5.396121769968804660e-01,4.121111598196214310e-01,3.966472083395089498e-01,3.635432783005254631e-01
8.209940381906270790e-02,5.540505441203256165e-01,4.210916268877635815e-01,4.064179016328812732e-01,3.714809325320850286e-01
8.947533576407702693e-02,5.689535457474987901e-01,4.308297961510096918e-01,4.169297341357782738e-01,3.801335783470338736e-01
9.751393235130209614e-02,5.843134184636211703e-01,4.413785852673248744e-01,4.282321382361815587e-01,3.895658543548528030e-01
1.062747283529282272e-01,6.001202736166770801e-01,4.527918350445667706e-01,4.403756549844877188e-01,3.998487955016336581e-01
1.158226072331896422e-01,6.163617962100624847e-01,4.651246286738703883e-01,4.534116634669240753e-01,4.110570814822720465e-01
1.262282816827738907e-01,6.330227188118835446e-01,4.784303207615518971e-01,4.673911178338605588e-01,4.232699252171538973e-01
